variable,mean,min,median,max,nmissing,eltype,Observations,BLQ,range
ID,15.5,1,15.5,30,0,Int64,450,26,"1, 30"
DV,645.5358155555556,0.0,188.14499999999998,4510.0,0,Float64,450,26,"0.0, 4510.0"
BLQ,0.057777777777777775,0,0.0,1,0,Int64,450,26,"0, 1"
AGE,32.04966666666666,19.87,28.005000000000003,47.85,0,Float64,450,26,"19.87, 47.85"
SEX,0.4,0,0.0,1,0,Int64,450,26,"0, 1"
WT,72.91133333333333,50.9,70.955,97.18,0,Float64,450,26,"50.9, 97.18"
HT,180.49899999999997,147.27,177.47,215.19,0,Float64,450,26,"147.27, 215.19"
EGFR,105.93933333333334,93.23,104.47,126.07,0,Float64,450,26,"93.23, 126.07"
ALB,4.270333333333333,3.56,4.075,5.15,0,Float64,450,26,"3.56, 5.15"
BMI,22.250666666666664,19.43,22.435,24.94,0,Float64,450,26,"19.43, 24.94"
AAG,88.41766666666668,50.1,89.155,119.13,0,Float64,450,26,"50.1, 119.13"
SCR,1.0336666666666665,0.74,1.045,1.3,0,Float64,450,26,"0.74, 1.3"
AST,22.653000000000006,10.55,20.740000000000002,35.85,0,Float64,450,26,"10.55, 35.85"
ALT,22.83633333333333,11.07,22.805,33.82,0,Float64,450,26,"11.07, 33.82"
